Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
IDA & IBRD total,IBT,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.3,14,16.9,20.3,23.2,25.7,27.8,30.1,32.8,36.4,39.5,42.9,47.8,55.1
IDA blend,IDB,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.1,6.8,7.7,9.1,10.3,11.8,13.9,16.1,19,20.6,22.3,24.1,26.9,28.7
IDA only,IDX,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.3,2.8,3.4,4.2,5,5.8,6.9,9,11.6,14.9,17.5,20.9,22.8,26
IDA total,IDA,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.7,4.2,4.9,5.9,6.8,7.9,9.4,11.6,14.2,16.9,19.2,22,24.2,27
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.95,4.38,5.12,7.5,10.07,11.1,12.3,13.5,14.9,16.5,18.2,20.0813,29.5235,43.4054
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.78627,7.91748,6.92,10.92,12.28,14.52,14.94,17.1432,22.0627,25.4474,32.3358,39.9046,47.6906,53.7265
"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.47,12.02,13.8,15.9,19,22.73,29.95,39.3536,45.335,53.2268,64.044,70.2006,72.4509,75.5699
Iraq,IRQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.93,1,1.06,2.5,5,7.1,9.2,11.6453,15.2,19.9,49.36,33.9,44.3263,53.6778
Ireland,IRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,61.1583,65.34,67.38,69.85,74.89,76.92,78.2477,83.4917,83.4948,83.5,84.114,87.0001,87.0001,91.9999
Isle of Man,IMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Individuals using the Internet (% of population),IT.NET.USER.ZS,48.1281,59.39,63.12,67.5,68.8739,70.8,70.2503,75.0178,77.3521,79.6531,81.5812,83.7332,86.7879,90.1273
Italy,ITA,Individuals using the Internet (% of population),IT.NET.USER.ZS,40.79,44.53,48.83,53.68,54.39,55.83,58.4593,55.6385,58.1417,61.3243,63.0773,74.3872,67.8507,70.4834
Jamaica,JAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.1,23.6,24.3,27.67,37.4386,33.79,37.1,40.4027,42.2212,44.3669,55.0721,68.2145,70.841,76.384
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.3,75.4,78,78.21,79.0541,79.4964,88.2194,89.1068,91.058,93.1827,91.7265,88.7464,92.7304,90.2195
